title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"5T35_1",1,Done,17.812,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_2",2,Done,25.954,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_3",3,Done,24.046,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_4",4,Done,24.875,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_5",5,Done,27.704,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_6",6,Done,26.687,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_7",7,Done,27.094,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_8",8,Done,34.094,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_9",9,Done,30.531,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_10",10,Done,32.531,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_11",11,Done,30.016,-11.8111,"5t35-grid",-11.8111,-5.24948,-0.16,-0,-1.83147,-76.021,-6.70184,0.243909,-0.00776191,-137.572,-82.7228,4.14083
"5T35_12",12,Done,24.031,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_13",13,Done,29.266,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_14",14,Done,26.906,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_15",15,Done,35.125,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_16",16,Done,10.438,-7.04437,"5t35-grid",-7.04437,-3.33919,-0.32,-0,-0.981297,-40.0567,-7.1542,0.765182,-0.0930958,-68.8171,-47.2109,4.38897
"5T35_17",17,Done,24.687,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_18",18,Done,28.625,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_19",19,Done,28.766,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_20",20,Done,26.093,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_21",21,Done,22.922,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_22",22,Done,23.875,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_23",23,Done,27.469,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_24",24,Done,35.531,-15.3582,"5t35-grid",-15.3587,-6.64179,-0.602488,-0,-1.75882,-88.1326,-14.6017,0.284546,-0.0432221,-189.15,-102.734,8.01892
"5T35_25",25,Done,25.844,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_26",26,Done,28.531,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_27",27,Done,25.547,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_28",28,Done,30.297,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_29",29,Done,35.343,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_30",30,Done,29.469,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_31",31,Done,33.922,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_32",32,Done,27.719,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_33",33,Done,24.922,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_34",34,Done,32.64,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_35",35,Done,33.735,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_36",36,Done,28.047,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_37",37,Done,30.875,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_38",38,Done,34.141,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_39",39,Done,36.734,-17.7489,"5t35-grid",-17.7493,-6.98883,-0.93627,-0,-2.38713,-95.7487,-19.3685,0.276888,-0.0212843,-226.98,-115.117,12.7408
"5T35_40",40,Done,33.953,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_41",41,Done,33.922,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_42",42,Done,32.359,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_43",43,Done,33.89,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_44",44,Done,34.532,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_45",45,Done,34.562,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_46",46,Done,33.61,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_47",47,Done,25.437,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_48",48,Done,33.313,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_49",49,Done,35.156,-13.6666,"5t35-grid",-13.6671,-6.12373,-0.0620083,-0,-2.21144,-90.8736,-6.54395,0.255338,0,-170.234,-97.4175,8.62405
"5T35_50",50,Done,33.609,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_51",51,Done,33.688,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_52",52,Done,32.906,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_53",53,Done,26.781,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_54",54,Done,26.219,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_55",55,Done,34.359,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_56",56,Done,38.578,-14.5578,"5t35-grid",-14.5583,-6.61205,-0.32,-0,-1.82013,-90.1701,-10.1267,0.255338,-0.0339083,-170.74,-100.297,15.3003
"5T35_57",57,Done,32.078,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_58",58,Done,36.406,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_59",59,Done,26.219,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_60",60,Done,25.562,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_61",61,Done,12.735,-7.04437,"5t35-grid",-7.04437,-3.33919,-0.32,-0,-0.981297,-40.0567,-7.1542,0.765182,-0.0930958,-68.8171,-47.2109,4.38897
"5T35_62",62,Done,31.484,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_63",63,Done,26.406,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_64",64,Done,26.782,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_65",65,Done,24.687,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_66",66,Done,32.672,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_67",67,Done,36.172,-11.9645,"5t35-grid",-11.965,-4.64664,-0.255861,-0,-1.78501,-70.7418,-12.3623,0.240877,-0.126872,-141.042,-83.1042,7.03183
"5T35_68",68,Done,28.922,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_69",69,Done,33.703,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_70",70,Done,24.875,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_71",71,Done,27.922,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_72",72,Done,24.14,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_73",73,Done,26.813,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_74",74,Done,29.14,-14.5578,"5t35-grid",-14.5583,-6.61205,-0.32,-0,-1.82013,-90.1701,-10.1267,0.255338,-0.0339083,-170.74,-100.297,15.3003
"5T35_75",75,Done,26.625,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_76",76,Done,20.407,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_77",77,Done,29.468,-6.7402,"5t35-grid",-6.7405,-1.53942,-0.768,-0,-0.274106,-49.3685,-12.9656,0.276888,-0.0225975,-82.6308,-62.3341,6.38872
"5T35_78",78,Done,22.391,-12.5699,"5t35-grid",-12.5703,-4.88434,-0.314907,-0,-1.79424,-72.1095,-14.762,0.266477,-0.0234735,-150.295,-86.8715,7.02598
"5T35_79",79,Done,31.765,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_80",80,Done,23.094,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_81",81,Done,25.171,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_82",82,Done,32.313,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_83",83,Done,24.703,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_84",84,Done,27.047,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_85",85,Done,29.922,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_86",86,Done,33.328,-13.6666,"5t35-grid",-13.6671,-6.12373,-0.0620083,-0,-2.21144,-90.8736,-6.54395,0.255338,0,-170.234,-97.4175,8.62405
"5T35_87",87,Done,24.562,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_88",88,Done,37.219,-17.3925,"5t35-grid",-17.393,-6.97738,-0.730403,-0,-2.26979,-94.7595,-19.6371,0.276888,-0.00873934,-227.101,-114.397,7.406
"5T35_89",89,Done,33.39,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_90",90,Done,36.032,-13.6666,"5t35-grid",-13.6671,-6.12373,-0.0620083,-0,-2.21144,-90.8736,-6.54395,0.255338,0,-170.234,-97.4175,8.62405
"5T35_91",91,Done,34.25,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_92",92,Done,34.437,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_93",93,Done,26.125,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_94",94,Done,26.938,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_95",95,Done,37.297,-17.7489,"5t35-grid",-17.7493,-6.98883,-0.93627,-0,-2.38713,-95.7487,-19.3685,0.276888,-0.0212843,-226.98,-115.117,12.7408
"5T35_96",96,Done,34.343,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_97",97,Done,28.844,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_98",98,Done,37.016,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_99",99,Done,38.953,-14.5578,"5t35-grid",-14.5583,-6.61205,-0.32,-0,-1.82013,-90.1701,-10.1267,0.255338,-0.0339083,-170.74,-100.297,15.3003
"5T35_100",100,Done,34.187,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_101",101,Done,31.985,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_102",102,Done,27.515,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_103",103,Done,28.875,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_104",104,Done,32.11,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_105",105,Done,27.016,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_106",106,Done,31.391,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_107",107,Done,26.343,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_108",108,Done,27.407,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_109",109,Done,26.625,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_110",110,Done,34.484,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_111",111,Done,31.687,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_112",112,Done,31.641,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_113",113,Done,27.594,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_114",114,Done,30.344,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_115",115,Done,13.609,-7.04437,"5t35-grid",-7.04437,-3.33919,-0.32,-0,-0.981297,-40.0567,-7.1542,0.765182,-0.0930958,-68.8171,-47.2109,4.38897
"5T35_116",116,Done,32.016,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_117",117,Done,34.781,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_118",118,Done,30.14,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_119",119,Done,27.5,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_120",120,Done,24.125,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_121",121,Done,27.422,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_122",122,Done,27.344,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_123",123,Done,31.093,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_124",124,Done,35.454,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
